,term,Course_Name,enrolled,total_Seats
1492,Spring 2015,CSC 821 [01 ],12,15
1493,Spring 2015,CSC 831 [01 ],13,15
1494,Spring 2015,CSC 848 [01 ],12,15
1495,Spring 2015,CSC 868 [01 ],13,15
1496,Spring 2015,CSC 869 [01 ],13,15
1497,Spring 2015,CSC 890 [01 ],5,15
1498,Spring 2015,CSC 890 [02 ],13,15
1499,Spring 2015,CSC 893 [01 ],1,15
1500,Spring 2015,CSC 895 [01 ],0,5
1501,Spring 2015,CSC 897 [01 ],0,5
1502,Spring 2015,CSC 898 [01 ],0,5
1503,Spring 2015,CSC 899 [01 ],0,10
1504,Spring 2015,CSC 895 [01 ],0,5
1505,Spring 2015,CSC 897 [01 ],0,5
1506,Spring 2015,CSC 898 [01 ],0,5
1507,Spring 2015,CSC 899 [01 ],0,10
1508,Spring 2015,CSC 895 [01 ],0,5
1509,Spring 2015,CSC 897 [01 ],0,5
1510,Spring 2015,CSC 898 [01 ],0,5
1511,Spring 2015,CSC 899 [01 ],0,10
1512,Spring 2015,CSC 895 [01 ],0,5
1513,Spring 2015,CSC 897 [01 ],0,5
1514,Spring 2015,CSC 898 [01 ],0,5
1515,Spring 2015,CSC 899 [01 ],0,10
1516,Fall 2015,CSC 210 [01 ],77,70
1517,Fall 2015,CSC 210 [02 ],77,70
1518,Fall 2015,CSC 210 [03 ],64,70
1519,Fall 2015,CSC 210 [04 ],79,70
1520,Fall 2015,CSC 211 [01 ],41,40
1521,Fall 2015,CSC 220 [01 ],44,40
1522,Fall 2015,CSC 220 [02 ],44,40
1523,Fall 2015,CSC 220 [03 ],55,55
1524,Fall 2015,CSC 230 [01 ],43,40
1525,Fall 2015,CSC 230 [02 ],41,40
1526,Fall 2015,CSC 230 [03 ],43,49
1527,Fall 2015,CSC 256 [01 ],67,70
1528,Fall 2015,CSC 256 [02 ],47,70
1529,Fall 2015,CSC 300GW [01 ],25,25
1530,Fall 2015,CSC 300GW [02 ],24,25
