num_people_enrolled,total_class_size,class_number,term,professor
1,5,Computer Science Research I                                ,FALL 209,"['Stone, Christopher ']"
22,50,Programming Practicum                                ,FALL 209,"['Dodds, Zachary B. ']"
9,10,Computer Science Senior Seminar                                ,FALL 209,"['Sood, Sara Owsley ']"
0,35,Computer Science Project I                                ,FALL 209,['Staff ']
0,35,Computer Science Project I                                ,FALL 209,['Staff ']
0,35,Computer Science Project I                                ,FALL 209,['Staff ']
9,10,Computer Science Project I                                ,FALL 209,"['Sweedyk, Elizabeth Ann ']"
1,35,Computer Science Project I                                ,FALL 209,"['Keller, Robert M. ']"
0,35,Computer Science Project I                                ,FALL 209,"['Libeskind-Hadas, Ran ']"
0,10,Sr Research/Thesis Computer Sci                                ,FALL 209,"['Chen, Tzu-Yi ']"
0,10,Senior Project                                ,FALL 209,"['Chen, Tzu-Yi ']"
0,15,Senior Project                                ,FALL 209,"['Bruce, Kim Barry ']"
32,99,Computer Science Colloquium                                ,FALL 209,"['Sweedyk, Elizabeth Ann ']"
23,99,Computer Science Colloquium                                ,FALL 209,"['Sweedyk, Elizabeth Ann ']"
0,99,Adv Problems in Computer Science                                ,FALL 209,['Staff ']
0,99,Adv Problems in Computer Science                                ,FALL 209,['Staff ']
0,99,Adv Problems in Computer Science                                ,FALL 209,['Staff ']
2,35,Adv Problems in Computer Science                                ,FALL 209,"['Keller, Robert M. ']"
0,35,Adv Probs In C S                                ,FALL 209,"['Keller, Robert M. ']"
17,24,Programming for Science+Engineer                                ,FALL 209,"['Higdon, James C. ']"
53,95,Introduction to Computer Science                                ,FALL 2010,"['Dodds, Zachary B. ']"
57,95,Introduction to Computer Science                                ,FALL 2010,"['Dodds, Zachary B. ']"
38,95,Introduction to Computer Science                                ,FALL 2010,"['Libeskind-Hadas, Ran ']"
40,60,Intro Biol and Computer Sci Lab                                ,FALL 2010,"['Bush, Eliot C. ']"
40,55,Intro Biology and Comp Science                                ,FALL 2010,"['Libeskind-Hadas, Ran ', 'Bush, Eliot C. ']"
37,60,Intro to Computer Science Lab                                ,FALL 2010,"['Dodds, Zachary B. ']"
34,60,Intro to Computer Science Lab                                ,FALL 2010,"['Dodds, Zachary B. ']"
29,60,Intro to Computer Science Lab                                ,FALL 2010,"['Sweedyk, Elizabeth Ann ']"
48,60,Intro to Computer Science Lab                                ,FALL 2010,"['Sweedyk, Elizabeth Ann ']"
27,36,Principles & Practice: Comp Sci                                ,FALL 2010,"['Alvarado, Christine J. ']"
29,40,Intro to Computer Science w/Lab                                ,FALL 2010,"['Lee, Arthur H. ']"
36,40,Intro to Computer Science w/Lab                                ,FALL 2010,"['Kauchak, David R. ']"
18,28,"Lab, Intro to Computer Science                                ",FALL 2010,"['Kauchak, David R. ']"
